"year","season_num","biomass","landing","fishmeal_p","nino"
2009,1,906,776.32,1109.27,0.348333333333333
2010,1,1918,614.59,1092.02333333333,-0.00166666666666667
2010,2,458,183.65,1227.44666666667,-1.17833333333333
2011,1,1164,1428.18,1401.6725,0.035
2011,2,145,798.4,1529.56571428571,-0.502857142857143
2012,1,601,774.64,1600.04666666667,0.495
2012,2,2213,219.56,1456.568,-0.424
2013,1,321,606.42,1783.18875,-0.97375
2013,2,2101,193.45,1611.815,-0.375
